Date,Last Price,Volume
11/20/2015,17823.81,153158592
11/19/2015,17732.75,114647504
11/18/2015,17737.16,106826496
11/17/2015,17489.5,167195600
11/16/2015,17483.01,137601696
11/13/2015,17245.24,134706400
11/12/2015,17448.07,113846704
11/11/2015,17702.22,95234808
11/10/2015,17758.21,108692496
11/9/2015,17730.48,121239296
11/6/2015,17910.33,107472400
11/5/2015,17863.43,98916784
11/4/2015,17867.58,99922288
11/3/2015,17918.15,92324760
11/2/2015,17828.76,100855296
10/30/2015,17663.54,149375504
10/29/2015,17755.8,90327648
10/28/2015,17779.52,115657104
10/27/2015,17581.43,116742600
10/26/2015,17623.05,116719800
10/23/2015,17646.7,158119904
10/22/2015,17489.16,153220608
10/21/2015,17168.61,107138896
10/20/2015,17217.11,106690600
10/19/2015,17230.54,118445104
10/16/2015,17215.97,145905696
10/15/2015,17141.75,122977000
10/14/2015,16924.75,120124704
10/13/2015,17081.89,99668080
10/12/2015,17131.86,72509488
10/9/2015,17084.49,103744800
10/8/2015,17050.75,100743000
10/7/2015,16912.29,115715696
10/6/2015,16790.19,120049296
10/5/2015,16776.43,127662400
10/2/2015,16472.37,136902592
10/1/2015,16272.01,111438096
9/30/2015,16284.7,145790096
9/29/2015,16049.13,121190704
9/28/2015,16001.89,139945296
